implementation,Custom,Custom,Custom,Custom,Custom,Custom,Custom,Custom,Custom,Custom,DBR built-in,DBR built-in,DBR built-in,DBR built-in,DBR built-in,DBR built-in
strategy,BM25,BM25,FAISS,FAISS,Hybrid_50_50,Hybrid_50_50,Hybrid_70_30,Hybrid_70_30,Reranked,Reranked,ANN,ANN,HYBRID,HYBRID,Reranked,Reranked
criteria_included,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y
Recall @ k=1,19.7,29.5,25.0,26.5,25.8,34.1,25.8,28.8,15.2,9.1,37.9,31.1,43.2,45.5,30.3,19.7
Recall @ k=5,44.7,54.5,62.1,59.8,61.4,61.4,62.9,59.8,39.4,33.3,65.9,62.9,66.7,67.4,57.6,56.1
Recall @ k=10,62.9,65.9,75.8,78.0,72.7,72.0,81.8,76.5,59.1,50.8,72.7,74.2,78.0,78.8,76.5,73.5
Recall @ k=20,70.5,72.7,87.9,87.9,84.8,85.6,87.9,88.6,75.0,69.7,81.8,81.8,84.1,84.8,84.8,86.4
