ESN,Equipment Sys ID,Equipment Type,Equipment Class / Code,Event Type,EV Project ID,EV Equipment Event ID,OFS Event ID,FSP project ID,xxx project id,FSR Number (#),Report Issued Date,Outage Start Date,Outage End Date,PDF Name / path / identifier
337X830,SY0076417,Generator,7FH2,Major Inspection (MI),EVP-503950,EV-124565,10335711,FSP-239293,A-1358422 | C-10335711,,,11-Feb-21,21-03-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/21a61330-f7bf-4961-a613-30f7bfa961e3.pdf
337X830,SY0076417,Generator,7FH2,Major Inspection (MI),EVP-503950,EV-124564,10335711,FSP-239293,A-1358422 | C-10335711,,,11-Feb-21,21-03-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/21a61330-f7bf-4961-a613-30f7bfa961e3.pdf
,SY0005085,Boiler,Pulverized coal,On Site Services,,,NEX-P-275962 | SP-EB0-600500,,,,,26-Oct-20,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/2226c647-ef67-45ca-a6c6-47ef6725ca0b.pdf
290T538,SY0072301,Generator,324,On Site Services,EVP-507798,EV-124740,10346865,FSP-289268,A-1596140 | C-10346865,,,20-Oct-20,04-11-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/236e14da-418d-4c27-ae14-da418d7c27d7.pdf
270T453,SY0073270,Steam Turbine,207D-11,Call-Out,EVP-507879,EV-118791,10347135,FSP-289645,A-1597346 | C-10347135,,12-Feb-21,18-04-2020,01-05-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/24d4cb50-e27f-43f1-94cb-50e27ff3f103.pdf
,SY0017085,Steam Turbine,DKY3-4D50A,,,,NEX-P-216421 | SP-ES0-011658,,,,09-Dec-21,,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/24d5fbcb-b7dc-458e-95fb-cbb7dc258e89.pdf
,SY0017086,Steam Turbine,DKY3-4D50A,,,,NEX-P-216421 | SP-ES0-011658,,,,09-Dec-21,,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/24d5fbcb-b7dc-458e-95fb-cbb7dc258e89.pdf
B 70014,SY0008794,Generator,50WT20H,,,,NEX-P-216421 | SP-ES0-011658,,,,09-Dec-21,,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/24d5fbcb-b7dc-458e-95fb-cbb7dc258e89.pdf
B 70015,SY0008795,Generator,50WT20H,,,,NEX-P-216421 | SP-ES0-011658,,,,09-Dec-21,,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/24d5fbcb-b7dc-458e-95fb-cbb7dc258e89.pdf
875109,SY0527895,Gas Turbine,6FA.03,Call-Out,EVP-510352,EV-108798,10353272,FSP-298387,A-1628308 | C-10353272,,,14-Sep-20,21-12-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/24d69660-da52-4821-9696-60da52782186.pdf
