col_name
id
business_unit
event_id
esn
generating
generate_pdf
generated_by
prepared_by_name
prepared_by_role
report_focus
report_name
site
start_date
end_date
ehs
executive_summary
quality
unit_description
total_fired_hours
fired_starts
emergency_starts
emergency_stops
peak_fired_hours
total_starts
work_scope
last_edited
event_type
outage_id
timezone_offset_minutes
submitted_date
intervention_type
outage_type
customer_name
site_name
technology_type
trips
operating_hours
equivalent_operating_hours
weighted_operating_hours
weighted_cyclic_events
hot_starts
warm_starts
cold_starts
all_unplanned_trips
unplanned_trips_greater_than_75_percent
last_inspection
produced_active_power
produce_reactive_power
rated_active_power
rated_speed
rated_main_steam_pressure
rated_main_steam_temperature
rated_reheat_pressure
rated_reheat_temperature
rated_condenser_pressure
rated_condenser_temperature
control_system
average_produced_power
locale
histories_id
histories_report_id
histories_approver_name
histories_approver_role
histories_approver_sso
histories_comment
histories_status
histories_submitter_name
histories_submitter_role
histories_submitter_sso
histories_time
report_unit_id
report_unit_status
ev_equipment_event_id
ev_equipment_sys_id
last_updated_date
